"사건번호","소재지","건물","토지","특수조건","용도","감정가","최저가","상태","유찰수","매각기일"
"수원 16계 2018-24874","경기도 수원시 권선구 세류동 1147 미영 105동 4층 410호","14.1평","12.10평","","아파트","174,000,000","","재진행","0","2019.08.08"
"수원 16계 2019-502548","경기도 수원시 권선구 권선동 1050 10층 1012호","24.1평","9.08평","","아파트","190,000,000","133,000,000","진행 70%","1","2019.08.08"
"수원 1계 2019-158","경기도 수원시 장안구 정자동 304 동신 301동 1층 105호","20.9평","10.29평","","아파트","182,000,000","127,400,000","진행 70%","1","2019.08.09"
"수원 1계 2019-3065","경기도 수원시 권선구 서둔동 130-4","55.9평","38.12평","제시외물건포함","아파트","395,516,380","276,861,000","진행 70%","1","2019.08.09"
"수원 2계 2019-783","경기도 수원시 권선구 오목천동 542 청구1차 105동 3층 304호","1,583.4평","9.38평","","아파트","190,000,000","취하","취하","1","2019.08.13"
"수원 2계 2019-1953","경기도 수원시 장안구 정자동 870-1 백설마을 현대 595동 2층 204호","18.1평","9.68평","","아파트","264,000,000","184,800,000","진행 70%","1","2019.08.13"
"수원 2계 2019-2536","경기도 수원시 장안구 정자동 401 401번지 101동 4층 409호","17.2평","9.98평","","아파트","171,000,000","119,700,000","진행 70%","1","2019.08.13"
"수원 2계 2019-5474","경기도 수원시 장안구 연무동 4-20 신미주 101동 8층 809호","18.1평","6.21평","","아파트","201,000,000","","신건","0","2019.08.13"
"수원 2계 2019-501811","경기도 수원시 장안구 천천동 566 현대 307동 1층 105호","18.1평","9.68평","","아파트","214,000,000","149,800,000","진행 70%","1","2019.08.13"
"수원 5계 2018-28890","경기도 수원시 영통구 매탄동 1217-7 3차삼성 3동 4층 404호","18.1평","17.55평","","아파트","250,000,000","175,000,000","진행 70%","1","2019.08.14"
"수원 5계 2019-479","경기도 수원시 영통구 이의동 1351-2 광교 코아루에스 13층 1301호","13.2평","4.24평","토지별도등기","오피스텔","243,000,000","170,100,000","진행 70%","1","2019.08.14"
"수원 5계 2019-502432","경기도 수원시 권선구 당수동 218-2 218-2 205동 2층 201호","18.1평","8.17평","","아파트","180,000,000","126,000,000","진행 70%","1","2019.08.14"
"수원 7계 2019-4150","경기도 수원시 팔달구 우만동 600 월드메르디앙 112동 20층 2006호","12.7평","6.94평","","아파트","216,500,000","","재진행","0","2019.08.20"
"수원 7계 2019-11141","경기도 수원시 영통구 망포동 700 동수원3차 쌍용스윗닷홈 303동 12층 1205호","18.1평","10.69평","","아파트","260,000,000","","신건","0","2019.08.20"
"수원 9계 2018-21554","경기도 수원시 영통구 매탄동 1282 주공그린빌 508동 11층 1106호","13.9평","10.75평","","아파트","243,000,000","170,100,000","진행 70%","1","2019.08.21"
"수원 9계 2018-516939","경기도 수원시 팔달구 우만동 600 월드메르디앙 103동 4층 405호","30.3평","16.34평","","아파트","407,000,000","284,900,000","진행 70%","1","2019.08.21"
"수원 9계 2019-7418","경기도 수원시 영통구 영통동 1053-2 풍림 232동 2층 201호","25.7평","13.44평","","아파트","330,000,000","","신건","0","2019.08.21"
"수원 9계 2019-8534","경기도 수원시 영통구 영통동 948-4 황골마을주공2단지 103동 18층 1801호","18.1평","10.66평","","아파트","247,000,000","","신건","0","2019.08.21"
"수원 9계 2019-505820","경기도 수원시 영통구 망포동 298-2 세흥 2층 213호","16.1평","11.01평","","아파트","140,000,000","","신건","0","2019.08.21"
"수원 6계 2019-500993","경기도 수원시 영통구 매탄동 173-87","89.8평","53.85평","제시외물건포함","주택","651,840,000","456,288,000","진행 70%","1","2019.08.23"
"수원 12계 2019-1304","경기도 수원시 영통구 하동 1014 광교 힐스테이트 레이크 101동 13층 1305호","25.7평","8.17평","","오피스텔","526,000,000","368,200,000","진행 70%","1","2019.08.28"
"수원 12계 2019-3348","경기도 수원시 권선구 곡반정동 578 현대 아이파크 104동 6층 601호","25.7평","14.52평","","아파트","246,000,000","172,200,000","진행 70%","1","2019.08.28"
"수원 12계 2019-4303","경기도 수원시 권선구 평동 24-10 1","7.3평","33.28평","제시외물건포함","주택","141,440,700","99,008,000","진행 70%","1","2019.08.28"
"수원 12계 2019-505035","경기도 수원시 장안구 정자동 304 동신 302동 2층 204호","25.7평","12.71평","","아파트","217,000,000","151,900,000","진행 70%","1","2019.08.28"
"수원 8계 2019-503961","경기도 수원시 팔달구 우만동 76-7 삼성 101동 9층 908호","18.0평","6.66평","","아파트","220,000,000","154,000,000","진행 70%","1","2019.08.29"
"수원 8계 2019-505318","경기도 수원시 영통구 망포동 698 엘지동수원자이 301동 2층 208호","23.9평","13.31평","","아파트","305,000,000","213,500,000","진행 70%","1","2019.08.29"
"수원 10계 2019-3652","경기도 수원시 장안구 영화동 391-2","141.2평","70.79평","제시외물건포함","주택","1,309,561,660","916,693,000","진행 70%","1","2019.08.30"
"수원 10계 2019-502319","경기도 수원시 권선구 권선동 1187-1 신현대 2동 10층 1003호","25.7평","14.52평","","아파트","234,000,000","163,800,000","진행 70%","1","2019.08.30"
"수원 15계 2018-18244","경기도 수원시 팔달구 우만동 138 신성미소지움 101동 19층 1903호","25.6평","10.59평","","아파트","315,000,000","220,500,000","재진행 70%","1","2019.09.03"
"수원 15계 2019-504575","경기도 수원시 장안구 정자동 872-1 연꽃마을 풍림 414동 6층 606호","30.0평","13.92평","","아파트","415,000,000","290,500,000","진행 70%","1","2019.09.03"
"수원 13계 2018-26511","경기도 수원시 팔달구 화서동 656 한진 106동 17층 1703호","35.3평","16.37평","","아파트","401,000,000","280,700,000","진행 70%","1","2019.09.05"
"수원 13계 2019-501118","경기도 수원시 권선구 금곡동 520 엘지 401동 10층 1002호","18.2평","9.68평","","아파트","230,000,000","161,000,000","진행 70%","1","2019.09.05"
"수원 13계 2019-501255","경기도 수원시 권선구 곡반정동 579 한솔 105동 9층 902호","30.0평","16.34평","","아파트","281,000,000","196,700,000","진행 70%","1","2019.09.05"
"수원 14계 2019-2123","경기도 수원시 권선구 권선동 1360 수원아이파크시티 1단지 109동 11층 1103호","25.7평","","대지권미등기","아파트","450,000,000","315,000,000","진행 70%","1","2019.09.06"
"수원 14계 2019-5771","경기도 수원시 권선구 탑동 797-6 가림26차 6층 604호","21.3평","9.98평","","아파트","149,000,000","104,300,000","진행 70%","1","2019.09.06"